City,ConstructionTime,ConstructionCost,Rotation,LengthX,LengthY,Wall_num,Window_num,sDA,TotalElec,Light,Cooling,Heating,TerraceCost,WindowCost,ExtCost,IntCost,mesh1,mesh2,mesh3,mesh4,mesh5,mesh6,mesh7,mesh8,mesh9,mesh10,mesh11,mesh12,mesh13,mesh14,mesh15,mesh16,mesh17,mesh18,mesh19,mesh20,mesh21,mesh22,mesh23,mesh24,mesh25,mesh26,mesh27,mesh28,mesh29,mesh30,mesh31,mesh32,mesh33,mesh34,mesh35,mesh36,mesh37,mesh38,mesh39,mesh40,mesh41,mesh42,mesh43,mesh44,mesh45,mesh46,mesh47,mesh48,mesh49,mesh50,mesh51,mesh52,mesh53,mesh54,mesh55,mesh56,mesh57,mesh58,mesh59,mesh60,mesh61,mesh62,mesh63,mesh64
Ils-de-France,3,16176,0,3.96,5.18,10,4,89,7202,656,552,5994,0,4000,9613,2563,25,58,60,49,7,73,90,88,56,74,72,67,59,81,86,85,83,84,81,73,79,78,81,79,90,87,84,83,84,83,86,90,90,87,86,85,84,84,86,90,87,87,87,86,84,82,83,81,73,85,88,88,84,78,73,41,33,75,90,90,75,61,45,2
Ils-de-France,3,18817,0,3.96,6.4,10,6,88,8969,811,747,7411,0,6000,9613,3204,86,85,79,9,14,25,88,89,90,87,82,28,48,61,85,86,91,88,85,71,37,63,80,80,91,88,86,84,83,83,86,90,90,88,86,85,85,85,87,90,87,87,87,86,86,87,86,85,75,87,89,86,86,88,86,71,24,83,91,80,81,91,80,14
Ils-de-France,4,20817,0,3.96,7.62,10,8,92,10396,959,999,8437,0,8000,9613,3204,27,76,87,90,91,91,90,87,84,87,88,88,88,87,86,85,91,90,89,88,87,85,83,80,91,91,89,88,86,83,80,73,91,91,89,87,86,81,73,52,91,90,89,87,85,44,46,18,83,86,87,87,86,77,82,81,12,72,86,89,89,80,86,89
Ils-de-France,3,16253,0,5.18,3.96,8,6,95,7673,656,681,6337,0,6000,7690,2563,46,79,91,91,91,89,73,21,74,86,89,90,90,88,84,70,86,88,89,89,89,87,86,84,91,89,88,88,87,86,88,90,91,89,88,88,85,85,87,91,85,87,88,87,82,75,82,87,70,85,88,89,72,79,84,90,27,75,90,90,76,78,82,85
Ils-de-France,3,18137,0,5.18,5.18,11,5,77,8712,864,630,7218,0,5000,10574,2563,1,0,1,9,31,0,90,87,6,32,46,40,33,18,85,84,29,68,71,65,60,47,79,79,75,82,81,80,78,72,67,63,90,87,85,85,85,86,87,90,90,88,87,87,87,87,87,90,83,86,88,89,89,88,85,75,50,78,89,91,91,89,75,34
Ils-de-France,4,23303,0,5.18,6.4,12,6,81,11207,1090,792,9325,0,6000,11535,5768,36,81,90,91,91,88,67,20,82,87,87,88,87,85,78,57,91,88,86,84,83,81,71,56,89,85,79,74,68,76,14,0,88,85,80,75,77,78,42,3,41,75,75,75,77,83,72,53,2,47,68,79,83,83,83,87,0,0,14,74,89,89,85,88
Ils-de-France,5,25264,0,5.18,7.62,13,7,86,12656,1257,941,10457,0,7000,12496,5768,35,65,60,50,3,15,84,89,73,78,73,63,33,61,81,84,88,85,80,75,70,80,81,88,90,87,83,78,72,77,82,88,91,88,85,82,74,75,78,76,90,88,87,85,79,77,70,34,83,87,89,88,85,79,55,1,36,86,91,91,90,70,5,0
Ils-de-France,4,23342,0,5.18,6.4,11,7,75,11434,1080,892,9462,0,7000,10574,5768,0,0,0,2,22,1,89,87,0,1,5,21,4,0,84,82,16,60,59,54,36,0,82,75,88,84,76,76,76,63,85,89,88,84,78,82,83,77,85,89,91,88,86,86,86,86,88,91,86,87,88,88,88,87,86,82,57,80,89,91,91,89,78,43
Ils-de-France,5,28827,0,6.4,6.4,13,8,77,14332,1345,933,12054,0,8000,12496,8331,41,86,91,90,86,49,12,6,84,87,88,87,64,57,49,10,91,88,86,83,41,57,67,58,91,88,85,81,68,67,76,87,88,86,82,79,73,77,85,90,54,75,72,62,26,75,86,90,82,82,69,29,32,64,78,75,88,87,50,4,0,31,33,0
Ils-de-France,6,30789,0,6.401682,7.619607,14,9,83,16182,1575,1095,13512,0,9000,13458,8331,48,86,91,91,88,65,81,88,87,88,87,87,85,75,77,82,91,88,86,83,79,70,25,6,91,87,84,79,73,61,43,44,90,84,73,72,67,72,83,89,74,78,73,70,65,73,78,78,5,61,71,74,74,73,61,11,0,4,65,87,87,66,8,0
Ils-de-France,7,35031,0,8.839607,6.4,13,11,78,19372,1798,1379,16195,0,11000,12496,11535,90,82,59,86,86,87,15,0,87,85,74,81,80,83,70,11,90,86,79,69,66,76,76,67,91,87,82,0,0,73,80,87,91,88,84,71,59,68,79,87,91,88,86,79,66,61,16,18,87,88,88,2,0,78,24,3,67,88,91,86,0,84,0,0
Ils-de-France,8,37831,0,10.06,6.4,13,11,78,19373,1798,1379,16195,11000,12496,11535,90,82,59,86,86,87,15,0,87,85,74,81,80,83,70,11,90,86,79,69,66,76,76,67,91,87,82,0,0,73,80,87,91,88,84,71,59,68,79,87,91,88,86,79,66,61,17,22,87,88,88,2,0,78,24,3,67,88,91,86,0,84,0,0,
Ils-de-France,5,25303,0,5.18,7.62,12,8,73,12973,1254,1007,10711,0,8000,11535,5768,65,89,91,91,90,58,2,0,83,88,90,89,84,73,5,0,89,88,88,86,71,66,9,0,91,88,87,85,60,42,1,2,91,89,87,85,58,16,0,16,89,88,88,86,52,49,0,0,81,88,89,88,36,64,80,89,51,87,91,90,46,59,79,87
Ils-de-France,6,29789,0,6.4,7.62,14,8,84,16267,1603,1075,13589,0,8000,13458,8331,61,88,91,91,89,72,6,0,85,88,88,87,82,75,57,4,90,88,86,83,65,69,71,64,91,87,83,78,64,67,74,87,87,84,78,71,71,69,74,86,61,74,67,56,74,75,72,65,83,80,39,33,84,79,61,5,89,84,9,38,89,79,6,0
Ils-de-France,7,33109,0,7.62,7.62,13,11,83,18772,1874,1363,15536,0,11000,12496,9613,0,27,81,89,59,72,88,92,31,68,78,82,57,0,0,0,79,77,75,70,30,45,38,27,89,81,69,69,70,72,78,68,90,83,77,73,76,81,86,90,82,82,80,75,81,85,87,91,66,83,86,85,86,87,87,87,19,84,90,90,90,91,87,54
Ils-de-France,8,37672,0,7.62,8.839607,13,13,84,22394,2257,1624,18513,0,13000,12496,12176,64,88,91,91,90,85,88,92,88,88,87,87,86,85,85,85,91,88,85,83,80,78,76,69,87,79,15,74,69,0,75,85,86,78,56,57,27,51,73,85,86,80,72,69,41,66,81,87,25,69,77,80,28,66,79,79,0,22,81,88,0,42,84,88
Ils-de-France,9,40822,0,10.06,7.62,13,13,83,22415,2140,1640,18635,13000,12496,12176,89,82,60,85,86,87,39,0,88,85,75,78,76,82,72,24,91,87,79,11,56,74,78,80,91,87,82,74,60,71,80,89,91,88,83,75,64,66,79,89,91,88,85,43,0,71,78,81,88,88,87,77,0,79,68,30,67,88,91,88,0,85,32,2,
Ils-de-France,11,42706,0,11.28,7.62,16,12,77,24062,2447,1484,20130,12000,15380,12176,0,1,6,20,89,89,57,0,9,47,30,8,80,82,74,40,79,75,63,41,60,73,77,80,89,84,76,65,64,66,77,88,91,86,81,74,61,62,77,88,91,87,85,80,47,67,75,81,88,88,88,86,79,79,70,37,70,89,91,90,89,88,38,2,
Ils-de-France,7,34993,0,8.84,6.4,14,10,83,19089,1852,1301,15936,0,10000,13458,11535,62,90,91,86,86,85,23,7,85,88,88,79,80,79,60,28,90,87,85,0,65,64,66,67,91,87,82,77,41,57,67,85,88,85,79,73,43,63,70,85,82,82,74,4,71,75,71,63,84,81,69,80,81,83,66,17,89,78,44,85,87,87,31,0
